Adjusted Rand Index Baseline Score of set1.csv: 0.2422
Adjusted Rand Index Baseline Score of set2.csv: 0.3335
BIRCH Parameters - n_clusters: 2, Threshold: 0.10, File: set1.csv, ARI: 0.0162
BIRCH Parameters - n_clusters: 2, Threshold: 0.20, File: set1.csv, ARI: 0.0260
BIRCH Parameters - n_clusters: 2, Threshold: 0.30, File: set1.csv, ARI: 0.0450
BIRCH Parameters - n_clusters: 2, Threshold: 0.40, File: set1.csv, ARI: 0.0636
BIRCH Parameters - n_clusters: 2, Threshold: 0.50, File: set1.csv, ARI: 0.0745
BIRCH Parameters - n_clusters: 3, Threshold: 0.10, File: set1.csv, ARI: 0.0708
BIRCH Parameters - n_clusters: 3, Threshold: 0.20, File: set1.csv, ARI: 0.0680
BIRCH Parameters - n_clusters: 3, Threshold: 0.30, File: set1.csv, ARI: 0.0963
BIRCH Parameters - n_clusters: 3, Threshold: 0.40, File: set1.csv, ARI: 0.1001
BIRCH Parameters - n_clusters: 3, Threshold: 0.50, File: set1.csv, ARI: 0.1093
BIRCH Parameters - n_clusters: 4, Threshold: 0.10, File: set1.csv, ARI: 0.0954
BIRCH Parameters - n_clusters: 4, Threshold: 0.20, File: set1.csv, ARI: 0.0876
BIRCH Parameters - n_clusters: 4, Threshold: 0.30, File: set1.csv, ARI: 0.1054
BIRCH Parameters - n_clusters: 4, Threshold: 0.40, File: set1.csv, ARI: 0.1105
BIRCH Parameters - n_clusters: 4, Threshold: 0.50, File: set1.csv, ARI: 0.1113
BIRCH Parameters - n_clusters: 5, Threshold: 0.10, File: set1.csv, ARI: 0.1492
BIRCH Parameters - n_clusters: 5, Threshold: 0.20, File: set1.csv, ARI: 0.0888
BIRCH Parameters - n_clusters: 5, Threshold: 0.30, File: set1.csv, ARI: 0.1138
BIRCH Parameters - n_clusters: 5, Threshold: 0.40, File: set1.csv, ARI: 0.1115
BIRCH Parameters - n_clusters: 5, Threshold: 0.50, File: set1.csv, ARI: 0.1236
BIRCH Parameters - n_clusters: 6, Threshold: 0.10, File: set1.csv, ARI: 0.1554
BIRCH Parameters - n_clusters: 6, Threshold: 0.20, File: set1.csv, ARI: 0.0939
BIRCH Parameters - n_clusters: 6, Threshold: 0.30, File: set1.csv, ARI: 0.1164
BIRCH Parameters - n_clusters: 6, Threshold: 0.40, File: set1.csv, ARI: 0.1295
BIRCH Parameters - n_clusters: 6, Threshold: 0.50, File: set1.csv, ARI: 0.1256
BIRCH Parameters - n_clusters: 7, Threshold: 0.10, File: set1.csv, ARI: 0.1708
BIRCH Parameters - n_clusters: 7, Threshold: 0.20, File: set1.csv, ARI: 0.1473
BIRCH Parameters - n_clusters: 7, Threshold: 0.30, File: set1.csv, ARI: 0.1189
BIRCH Parameters - n_clusters: 7, Threshold: 0.40, File: set1.csv, ARI: 0.1320
BIRCH Parameters - n_clusters: 7, Threshold: 0.50, File: set1.csv, ARI: 0.1280
BIRCH Parameters - n_clusters: 8, Threshold: 0.10, File: set1.csv, ARI: 0.1729
BIRCH Parameters - n_clusters: 8, Threshold: 0.20, File: set1.csv, ARI: 0.1464
BIRCH Parameters - n_clusters: 8, Threshold: 0.30, File: set1.csv, ARI: 0.1200
BIRCH Parameters - n_clusters: 8, Threshold: 0.40, File: set1.csv, ARI: 0.1439
BIRCH Parameters - n_clusters: 8, Threshold: 0.50, File: set1.csv, ARI: 0.1291
BIRCH Parameters - n_clusters: 9, Threshold: 0.10, File: set1.csv, ARI: 0.1758
BIRCH Parameters - n_clusters: 9, Threshold: 0.20, File: set1.csv, ARI: 0.1490
BIRCH Parameters - n_clusters: 9, Threshold: 0.30, File: set1.csv, ARI: 0.1216
BIRCH Parameters - n_clusters: 9, Threshold: 0.40, File: set1.csv, ARI: 0.1469
BIRCH Parameters - n_clusters: 9, Threshold: 0.50, File: set1.csv, ARI: 0.1557
BIRCH Parameters - n_clusters: 10, Threshold: 0.10, File: set1.csv, ARI: 0.1785
BIRCH Parameters - n_clusters: 10, Threshold: 0.20, File: set1.csv, ARI: 0.1985
BIRCH Parameters - n_clusters: 10, Threshold: 0.30, File: set1.csv, ARI: 0.1336
BIRCH Parameters - n_clusters: 10, Threshold: 0.40, File: set1.csv, ARI: 0.1864
BIRCH Parameters - n_clusters: 10, Threshold: 0.50, File: set1.csv, ARI: 0.1583
BIRCH Parameters - n_clusters: 11, Threshold: 0.10, File: set1.csv, ARI: 0.1968
BIRCH Parameters - n_clusters: 11, Threshold: 0.20, File: set1.csv, ARI: 0.2022
BIRCH Parameters - n_clusters: 11, Threshold: 0.30, File: set1.csv, ARI: 0.1330
BIRCH Parameters - n_clusters: 11, Threshold: 0.40, File: set1.csv, ARI: 0.1928
BIRCH Parameters - n_clusters: 11, Threshold: 0.50, File: set1.csv, ARI: 0.1952
BIRCH Parameters - n_clusters: 12, Threshold: 0.10, File: set1.csv, ARI: 0.1997
BIRCH Parameters - n_clusters: 12, Threshold: 0.20, File: set1.csv, ARI: 0.2009
BIRCH Parameters - n_clusters: 12, Threshold: 0.30, File: set1.csv, ARI: 0.1697
BIRCH Parameters - n_clusters: 12, Threshold: 0.40, File: set1.csv, ARI: 0.1930
BIRCH Parameters - n_clusters: 12, Threshold: 0.50, File: set1.csv, ARI: 0.1950
BIRCH Parameters - n_clusters: 13, Threshold: 0.10, File: set1.csv, ARI: 0.1981
BIRCH Parameters - n_clusters: 13, Threshold: 0.20, File: set1.csv, ARI: 0.2072
BIRCH Parameters - n_clusters: 13, Threshold: 0.30, File: set1.csv, ARI: 0.1729
BIRCH Parameters - n_clusters: 13, Threshold: 0.40, File: set1.csv, ARI: 0.1948
BIRCH Parameters - n_clusters: 13, Threshold: 0.50, File: set1.csv, ARI: 0.1963
BIRCH Parameters - n_clusters: 14, Threshold: 0.10, File: set1.csv, ARI: 0.2059
BIRCH Parameters - n_clusters: 14, Threshold: 0.20, File: set1.csv, ARI: 0.1834
BIRCH Parameters - n_clusters: 14, Threshold: 0.30, File: set1.csv, ARI: 0.1752
BIRCH Parameters - n_clusters: 14, Threshold: 0.40, File: set1.csv, ARI: 0.1951
BIRCH Parameters - n_clusters: 14, Threshold: 0.50, File: set1.csv, ARI: 0.1979
BIRCH Parameters - n_clusters: 15, Threshold: 0.10, File: set1.csv, ARI: 0.2071
BIRCH Parameters - n_clusters: 15, Threshold: 0.20, File: set1.csv, ARI: 0.1844
BIRCH Parameters - n_clusters: 15, Threshold: 0.30, File: set1.csv, ARI: 0.1763
BIRCH Parameters - n_clusters: 15, Threshold: 0.40, File: set1.csv, ARI: 0.1963
BIRCH Parameters - n_clusters: 15, Threshold: 0.50, File: set1.csv, ARI: 0.1760
BIRCH Parameters - n_clusters: 16, Threshold: 0.10, File: set1.csv, ARI: 0.2530
BIRCH Parameters - n_clusters: 16, Threshold: 0.20, File: set1.csv, ARI: 0.1852
BIRCH Parameters - n_clusters: 16, Threshold: 0.30, File: set1.csv, ARI: 0.1784
BIRCH Parameters - n_clusters: 16, Threshold: 0.40, File: set1.csv, ARI: 0.1701
BIRCH Parameters - n_clusters: 16, Threshold: 0.50, File: set1.csv, ARI: 0.2038
BIRCH Parameters - n_clusters: 17, Threshold: 0.10, File: set1.csv, ARI: 0.2531
BIRCH Parameters - n_clusters: 17, Threshold: 0.20, File: set1.csv, ARI: 0.2637
BIRCH Parameters - n_clusters: 17, Threshold: 0.30, File: set1.csv, ARI: 0.2117
BIRCH Parameters - n_clusters: 17, Threshold: 0.40, File: set1.csv, ARI: 0.1695
BIRCH Parameters - n_clusters: 17, Threshold: 0.50, File: set1.csv, ARI: 0.2035
BIRCH Parameters - n_clusters: 18, Threshold: 0.10, File: set1.csv, ARI: 0.2539
BIRCH Parameters - n_clusters: 18, Threshold: 0.20, File: set1.csv, ARI: 0.2538
BIRCH Parameters - n_clusters: 18, Threshold: 0.30, File: set1.csv, ARI: 0.2116
BIRCH Parameters - n_clusters: 18, Threshold: 0.40, File: set1.csv, ARI: 0.1834
BIRCH Parameters - n_clusters: 18, Threshold: 0.50, File: set1.csv, ARI: 0.2036
BIRCH Parameters - n_clusters: 19, Threshold: 0.10, File: set1.csv, ARI: 0.2540
BIRCH Parameters - n_clusters: 19, Threshold: 0.20, File: set1.csv, ARI: 0.2546
BIRCH Parameters - n_clusters: 19, Threshold: 0.30, File: set1.csv, ARI: 0.2113
BIRCH Parameters - n_clusters: 19, Threshold: 0.40, File: set1.csv, ARI: 0.1841
BIRCH Parameters - n_clusters: 19, Threshold: 0.50, File: set1.csv, ARI: 0.2057
BIRCH Parameters - n_clusters: 20, Threshold: 0.10, File: set1.csv, ARI: 0.2411
BIRCH Parameters - n_clusters: 20, Threshold: 0.20, File: set1.csv, ARI: 0.2549
BIRCH Parameters - n_clusters: 20, Threshold: 0.30, File: set1.csv, ARI: 0.2113
BIRCH Parameters - n_clusters: 20, Threshold: 0.40, File: set1.csv, ARI: 0.1835
BIRCH Parameters - n_clusters: 20, Threshold: 0.50, File: set1.csv, ARI: 0.2054
BIRCH Parameters - n_clusters: 21, Threshold: 0.10, File: set1.csv, ARI: 0.2432
BIRCH Parameters - n_clusters: 21, Threshold: 0.20, File: set1.csv, ARI: 0.2591
BIRCH Parameters - n_clusters: 21, Threshold: 0.30, File: set1.csv, ARI: 0.2014
BIRCH Parameters - n_clusters: 21, Threshold: 0.40, File: set1.csv, ARI: 0.1833
BIRCH Parameters - n_clusters: 21, Threshold: 0.50, File: set1.csv, ARI: 0.2053
BIRCH Parameters - n_clusters: 22, Threshold: 0.10, File: set1.csv, ARI: 0.2430
BIRCH Parameters - n_clusters: 22, Threshold: 0.20, File: set1.csv, ARI: 0.2563
BIRCH Parameters - n_clusters: 22, Threshold: 0.30, File: set1.csv, ARI: 0.2005
BIRCH Parameters - n_clusters: 22, Threshold: 0.40, File: set1.csv, ARI: 0.1841
BIRCH Parameters - n_clusters: 22, Threshold: 0.50, File: set1.csv, ARI: 0.2057
BIRCH Parameters - n_clusters: 23, Threshold: 0.10, File: set1.csv, ARI: 0.2430
BIRCH Parameters - n_clusters: 23, Threshold: 0.20, File: set1.csv, ARI: 0.2590
BIRCH Parameters - n_clusters: 23, Threshold: 0.30, File: set1.csv, ARI: 0.2001
BIRCH Parameters - n_clusters: 23, Threshold: 0.40, File: set1.csv, ARI: 0.1837
BIRCH Parameters - n_clusters: 23, Threshold: 0.50, File: set1.csv, ARI: 0.2053
BIRCH Parameters - n_clusters: 24, Threshold: 0.10, File: set1.csv, ARI: 0.2307
BIRCH Parameters - n_clusters: 24, Threshold: 0.20, File: set1.csv, ARI: 0.2595
BIRCH Parameters - n_clusters: 24, Threshold: 0.30, File: set1.csv, ARI: 0.1980
BIRCH Parameters - n_clusters: 24, Threshold: 0.40, File: set1.csv, ARI: 0.1728
BIRCH Parameters - n_clusters: 24, Threshold: 0.50, File: set1.csv, ARI: 0.2054
BIRCH Parameters - n_clusters: 25, Threshold: 0.10, File: set1.csv, ARI: 0.2311
BIRCH Parameters - n_clusters: 25, Threshold: 0.20, File: set1.csv, ARI: 0.2596
BIRCH Parameters - n_clusters: 25, Threshold: 0.30, File: set1.csv, ARI: 0.1985
BIRCH Parameters - n_clusters: 25, Threshold: 0.40, File: set1.csv, ARI: 0.1728
BIRCH Parameters - n_clusters: 25, Threshold: 0.50, File: set1.csv, ARI: 0.2058
BIRCH Parameters - n_clusters: 26, Threshold: 0.10, File: set1.csv, ARI: 0.2312
BIRCH Parameters - n_clusters: 26, Threshold: 0.20, File: set1.csv, ARI: 0.2593
BIRCH Parameters - n_clusters: 26, Threshold: 0.30, File: set1.csv, ARI: 0.1986
BIRCH Parameters - n_clusters: 26, Threshold: 0.40, File: set1.csv, ARI: 0.1733
BIRCH Parameters - n_clusters: 26, Threshold: 0.50, File: set1.csv, ARI: 0.1956
BIRCH Parameters - n_clusters: 27, Threshold: 0.10, File: set1.csv, ARI: 0.2292
BIRCH Parameters - n_clusters: 27, Threshold: 0.20, File: set1.csv, ARI: 0.2594
BIRCH Parameters - n_clusters: 27, Threshold: 0.30, File: set1.csv, ARI: 0.1986
BIRCH Parameters - n_clusters: 27, Threshold: 0.40, File: set1.csv, ARI: 0.1736
BIRCH Parameters - n_clusters: 27, Threshold: 0.50, File: set1.csv, ARI: 0.1964
BIRCH Parameters - n_clusters: 28, Threshold: 0.10, File: set1.csv, ARI: 0.2308
BIRCH Parameters - n_clusters: 28, Threshold: 0.20, File: set1.csv, ARI: 0.2597
BIRCH Parameters - n_clusters: 28, Threshold: 0.30, File: set1.csv, ARI: 0.1986
BIRCH Parameters - n_clusters: 28, Threshold: 0.40, File: set1.csv, ARI: 0.1747
BIRCH Parameters - n_clusters: 28, Threshold: 0.50, File: set1.csv, ARI: 0.1967
BIRCH Parameters - n_clusters: 29, Threshold: 0.10, File: set1.csv, ARI: 0.2301
BIRCH Parameters - n_clusters: 29, Threshold: 0.20, File: set1.csv, ARI: 0.2613
BIRCH Parameters - n_clusters: 29, Threshold: 0.30, File: set1.csv, ARI: 0.1987
BIRCH Parameters - n_clusters: 29, Threshold: 0.40, File: set1.csv, ARI: 0.1727
BIRCH Parameters - n_clusters: 29, Threshold: 0.50, File: set1.csv, ARI: 0.1985
BIRCH Parameters - n_clusters: 30, Threshold: 0.10, File: set1.csv, ARI: 0.2303
BIRCH Parameters - n_clusters: 30, Threshold: 0.20, File: set1.csv, ARI: 0.2617
BIRCH Parameters - n_clusters: 30, Threshold: 0.30, File: set1.csv, ARI: 0.1987
BIRCH Parameters - n_clusters: 30, Threshold: 0.40, File: set1.csv, ARI: 0.1729
BIRCH Parameters - n_clusters: 30, Threshold: 0.50, File: set1.csv, ARI: 0.1988
BIRCH Parameters - n_clusters: 31, Threshold: 0.10, File: set1.csv, ARI: 0.2307
BIRCH Parameters - n_clusters: 31, Threshold: 0.20, File: set1.csv, ARI: 0.2614
BIRCH Parameters - n_clusters: 31, Threshold: 0.30, File: set1.csv, ARI: 0.1971
BIRCH Parameters - n_clusters: 31, Threshold: 0.40, File: set1.csv, ARI: 0.1731
BIRCH Parameters - n_clusters: 31, Threshold: 0.50, File: set1.csv, ARI: 0.1998
BIRCH Parameters - n_clusters: 32, Threshold: 0.10, File: set1.csv, ARI: 0.2307
BIRCH Parameters - n_clusters: 32, Threshold: 0.20, File: set1.csv, ARI: 0.2613
BIRCH Parameters - n_clusters: 32, Threshold: 0.30, File: set1.csv, ARI: 0.1970
BIRCH Parameters - n_clusters: 32, Threshold: 0.40, File: set1.csv, ARI: 0.1730
BIRCH Parameters - n_clusters: 32, Threshold: 0.50, File: set1.csv, ARI: 0.2000
BIRCH Parameters - n_clusters: 33, Threshold: 0.10, File: set1.csv, ARI: 0.2305
BIRCH Parameters - n_clusters: 33, Threshold: 0.20, File: set1.csv, ARI: 0.2581
BIRCH Parameters - n_clusters: 33, Threshold: 0.30, File: set1.csv, ARI: 0.1978
BIRCH Parameters - n_clusters: 33, Threshold: 0.40, File: set1.csv, ARI: 0.1731
BIRCH Parameters - n_clusters: 33, Threshold: 0.50, File: set1.csv, ARI: 0.2000
BIRCH Parameters - n_clusters: 34, Threshold: 0.10, File: set1.csv, ARI: 0.2313
BIRCH Parameters - n_clusters: 34, Threshold: 0.20, File: set1.csv, ARI: 0.2581
BIRCH Parameters - n_clusters: 34, Threshold: 0.30, File: set1.csv, ARI: 0.1987
BIRCH Parameters - n_clusters: 34, Threshold: 0.40, File: set1.csv, ARI: 0.1731
BIRCH Parameters - n_clusters: 34, Threshold: 0.50, File: set1.csv, ARI: 0.1970
BIRCH Parameters - n_clusters: 35, Threshold: 0.10, File: set1.csv, ARI: 0.2279
BIRCH Parameters - n_clusters: 35, Threshold: 0.20, File: set1.csv, ARI: 0.2577
BIRCH Parameters - n_clusters: 35, Threshold: 0.30, File: set1.csv, ARI: 0.1990
BIRCH Parameters - n_clusters: 35, Threshold: 0.40, File: set1.csv, ARI: 0.1738
BIRCH Parameters - n_clusters: 35, Threshold: 0.50, File: set1.csv, ARI: 0.1970
BIRCH Parameters - n_clusters: 36, Threshold: 0.10, File: set1.csv, ARI: 0.2280
BIRCH Parameters - n_clusters: 36, Threshold: 0.20, File: set1.csv, ARI: 0.2569
BIRCH Parameters - n_clusters: 36, Threshold: 0.30, File: set1.csv, ARI: 0.1990
BIRCH Parameters - n_clusters: 36, Threshold: 0.40, File: set1.csv, ARI: 0.1738
BIRCH Parameters - n_clusters: 36, Threshold: 0.50, File: set1.csv, ARI: 0.1970
BIRCH Parameters - n_clusters: 37, Threshold: 0.10, File: set1.csv, ARI: 0.2281
BIRCH Parameters - n_clusters: 37, Threshold: 0.20, File: set1.csv, ARI: 0.2563
BIRCH Parameters - n_clusters: 37, Threshold: 0.30, File: set1.csv, ARI: 0.1988
BIRCH Parameters - n_clusters: 37, Threshold: 0.40, File: set1.csv, ARI: 0.1749
BIRCH Parameters - n_clusters: 37, Threshold: 0.50, File: set1.csv, ARI: 0.2556
BIRCH Parameters - n_clusters: 38, Threshold: 0.10, File: set1.csv, ARI: 0.2291
BIRCH Parameters - n_clusters: 38, Threshold: 0.20, File: set1.csv, ARI: 0.2563
BIRCH Parameters - n_clusters: 38, Threshold: 0.30, File: set1.csv, ARI: 0.1986
BIRCH Parameters - n_clusters: 38, Threshold: 0.40, File: set1.csv, ARI: 0.1747
BIRCH Parameters - n_clusters: 38, Threshold: 0.50, File: set1.csv, ARI: 0.2558
BIRCH Parameters - n_clusters: 39, Threshold: 0.10, File: set1.csv, ARI: 0.2291
BIRCH Parameters - n_clusters: 39, Threshold: 0.20, File: set1.csv, ARI: 0.2522
BIRCH Parameters - n_clusters: 39, Threshold: 0.30, File: set1.csv, ARI: 0.1988
BIRCH Parameters - n_clusters: 39, Threshold: 0.40, File: set1.csv, ARI: 0.1749
BIRCH Parameters - n_clusters: 39, Threshold: 0.50, File: set1.csv, ARI: 0.2561
BIRCH Parameters - n_clusters: 40, Threshold: 0.10, File: set1.csv, ARI: 0.2196
BIRCH Parameters - n_clusters: 40, Threshold: 0.20, File: set1.csv, ARI: 0.2524
BIRCH Parameters - n_clusters: 40, Threshold: 0.30, File: set1.csv, ARI: 0.2066
BIRCH Parameters - n_clusters: 40, Threshold: 0.40, File: set1.csv, ARI: 0.1759
BIRCH Parameters - n_clusters: 40, Threshold: 0.50, File: set1.csv, ARI: 0.2500
BIRCH Parameters - n_clusters: 41, Threshold: 0.10, File: set1.csv, ARI: 0.2210
BIRCH Parameters - n_clusters: 41, Threshold: 0.20, File: set1.csv, ARI: 0.2315
BIRCH Parameters - n_clusters: 41, Threshold: 0.30, File: set1.csv, ARI: 0.1976
BIRCH Parameters - n_clusters: 41, Threshold: 0.40, File: set1.csv, ARI: 0.1759
BIRCH Parameters - n_clusters: 41, Threshold: 0.50, File: set1.csv, ARI: 0.2500
BIRCH Parameters - n_clusters: 42, Threshold: 0.10, File: set1.csv, ARI: 0.2056
BIRCH Parameters - n_clusters: 42, Threshold: 0.20, File: set1.csv, ARI: 0.2316
BIRCH Parameters - n_clusters: 42, Threshold: 0.30, File: set1.csv, ARI: 0.1983
BIRCH Parameters - n_clusters: 42, Threshold: 0.40, File: set1.csv, ARI: 0.1634
BIRCH Parameters - n_clusters: 42, Threshold: 0.50, File: set1.csv, ARI: 0.2499
BIRCH Parameters - n_clusters: 43, Threshold: 0.10, File: set1.csv, ARI: 0.2056
BIRCH Parameters - n_clusters: 43, Threshold: 0.20, File: set1.csv, ARI: 0.2338
BIRCH Parameters - n_clusters: 43, Threshold: 0.30, File: set1.csv, ARI: 0.1960
BIRCH Parameters - n_clusters: 43, Threshold: 0.40, File: set1.csv, ARI: 0.1631
BIRCH Parameters - n_clusters: 43, Threshold: 0.50, File: set1.csv, ARI: 0.2460
BIRCH Parameters - n_clusters: 44, Threshold: 0.10, File: set1.csv, ARI: 0.2027
BIRCH Parameters - n_clusters: 44, Threshold: 0.20, File: set1.csv, ARI: 0.2339
BIRCH Parameters - n_clusters: 44, Threshold: 0.30, File: set1.csv, ARI: 0.1959
BIRCH Parameters - n_clusters: 44, Threshold: 0.40, File: set1.csv, ARI: 0.1640
BIRCH Parameters - n_clusters: 44, Threshold: 0.50, File: set1.csv, ARI: 0.2460
BIRCH Parameters - n_clusters: 45, Threshold: 0.10, File: set1.csv, ARI: 0.2030
BIRCH Parameters - n_clusters: 45, Threshold: 0.20, File: set1.csv, ARI: 0.2336
BIRCH Parameters - n_clusters: 45, Threshold: 0.30, File: set1.csv, ARI: 0.1961
BIRCH Parameters - n_clusters: 45, Threshold: 0.40, File: set1.csv, ARI: 0.1640
BIRCH Parameters - n_clusters: 45, Threshold: 0.50, File: set1.csv, ARI: 0.2470
BIRCH Parameters - n_clusters: 46, Threshold: 0.10, File: set1.csv, ARI: 0.2026
BIRCH Parameters - n_clusters: 46, Threshold: 0.20, File: set1.csv, ARI: 0.2310
BIRCH Parameters - n_clusters: 46, Threshold: 0.30, File: set1.csv, ARI: 0.1943
BIRCH Parameters - n_clusters: 46, Threshold: 0.40, File: set1.csv, ARI: 0.1637
BIRCH Parameters - n_clusters: 46, Threshold: 0.50, File: set1.csv, ARI: 0.2468
BIRCH Parameters - n_clusters: 47, Threshold: 0.10, File: set1.csv, ARI: 0.2031
BIRCH Parameters - n_clusters: 47, Threshold: 0.20, File: set1.csv, ARI: 0.2310
BIRCH Parameters - n_clusters: 47, Threshold: 0.30, File: set1.csv, ARI: 0.1943
BIRCH Parameters - n_clusters: 47, Threshold: 0.40, File: set1.csv, ARI: 0.1636
BIRCH Parameters - n_clusters: 47, Threshold: 0.50, File: set1.csv, ARI: 0.2477
BIRCH Parameters - n_clusters: 48, Threshold: 0.10, File: set1.csv, ARI: 0.2031
BIRCH Parameters - n_clusters: 48, Threshold: 0.20, File: set1.csv, ARI: 0.2305
BIRCH Parameters - n_clusters: 48, Threshold: 0.30, File: set1.csv, ARI: 0.1943
BIRCH Parameters - n_clusters: 48, Threshold: 0.40, File: set1.csv, ARI: 0.1638
BIRCH Parameters - n_clusters: 48, Threshold: 0.50, File: set1.csv, ARI: 0.2474
BIRCH Parameters - n_clusters: 49, Threshold: 0.10, File: set1.csv, ARI: 0.2031
BIRCH Parameters - n_clusters: 49, Threshold: 0.20, File: set1.csv, ARI: 0.2313
BIRCH Parameters - n_clusters: 49, Threshold: 0.30, File: set1.csv, ARI: 0.1938
BIRCH Parameters - n_clusters: 49, Threshold: 0.40, File: set1.csv, ARI: 0.2124
BIRCH Parameters - n_clusters: 49, Threshold: 0.50, File: set1.csv, ARI: 0.2479
BIRCH Parameters - n_clusters: 50, Threshold: 0.10, File: set1.csv, ARI: 0.2031
BIRCH Parameters - n_clusters: 50, Threshold: 0.20, File: set1.csv, ARI: 0.2310
BIRCH Parameters - n_clusters: 50, Threshold: 0.30, File: set1.csv, ARI: 0.1937
BIRCH Parameters - n_clusters: 50, Threshold: 0.40, File: set1.csv, ARI: 0.2131
BIRCH Parameters - n_clusters: 50, Threshold: 0.50, File: set1.csv, ARI: 0.2479
BIRCH Parameters - n_clusters: 51, Threshold: 0.10, File: set1.csv, ARI: 0.2013
BIRCH Parameters - n_clusters: 51, Threshold: 0.20, File: set1.csv, ARI: 0.2321
BIRCH Parameters - n_clusters: 51, Threshold: 0.30, File: set1.csv, ARI: 0.1938
BIRCH Parameters - n_clusters: 51, Threshold: 0.40, File: set1.csv, ARI: 0.2131
BIRCH Parameters - n_clusters: 51, Threshold: 0.50, File: set1.csv, ARI: 0.2474
