Adjusted Rand Index Baseline Score of set1.csv: 0.2422
Adjusted Rand Index Baseline Score of set2.csv: 0.3335
EPS: 0.10, Min Samples: 2, File: set1.csv, ARI: 0.1535
EPS: 0.10, Min Samples: 2, File: set2.csv, ARI: 0.9415
EPS: 0.10, Min Samples: 3, File: set1.csv, ARI: 0.1533
EPS: 0.10, Min Samples: 3, File: set2.csv, ARI: 0.9397
EPS: 0.10, Min Samples: 4, File: set1.csv, ARI: 0.1459
EPS: 0.10, Min Samples: 4, File: set2.csv, ARI: 0.9342
EPS: 0.10, Min Samples: 5, File: set1.csv, ARI: 0.1431
EPS: 0.10, Min Samples: 5, File: set2.csv, ARI: 0.9302
EPS: 0.10, Min Samples: 6, File: set1.csv, ARI: 0.1501
EPS: 0.10, Min Samples: 6, File: set2.csv, ARI: 0.9149
EPS: 0.10, Min Samples: 7, File: set1.csv, ARI: 0.1466
EPS: 0.10, Min Samples: 7, File: set2.csv, ARI: 0.9122
EPS: 0.10, Min Samples: 8, File: set1.csv, ARI: 0.1442
EPS: 0.10, Min Samples: 8, File: set2.csv, ARI: 0.9102
EPS: 0.10, Min Samples: 9, File: set1.csv, ARI: 0.1413
EPS: 0.10, Min Samples: 9, File: set2.csv, ARI: 0.8550
EPS: 0.20, Min Samples: 2, File: set1.csv, ARI: 0.1832
EPS: 0.20, Min Samples: 2, File: set2.csv, ARI: 0.9454
EPS: 0.20, Min Samples: 3, File: set1.csv, ARI: 0.1832
EPS: 0.20, Min Samples: 3, File: set2.csv, ARI: 0.9450
EPS: 0.20, Min Samples: 4, File: set1.csv, ARI: 0.1821
EPS: 0.20, Min Samples: 4, File: set2.csv, ARI: 0.9448
EPS: 0.20, Min Samples: 5, File: set1.csv, ARI: 0.1800
EPS: 0.20, Min Samples: 5, File: set2.csv, ARI: 0.9442
EPS: 0.20, Min Samples: 6, File: set1.csv, ARI: 0.1656
EPS: 0.20, Min Samples: 6, File: set2.csv, ARI: 0.9414
EPS: 0.20, Min Samples: 7, File: set1.csv, ARI: 0.1598
EPS: 0.20, Min Samples: 7, File: set2.csv, ARI: 0.9383
EPS: 0.20, Min Samples: 8, File: set1.csv, ARI: 0.1588
EPS: 0.20, Min Samples: 8, File: set2.csv, ARI: 0.9347
EPS: 0.20, Min Samples: 9, File: set1.csv, ARI: 0.1584
EPS: 0.20, Min Samples: 9, File: set2.csv, ARI: 0.9320
EPS: 0.30, Min Samples: 2, File: set1.csv, ARI: 0.1839
EPS: 0.30, Min Samples: 2, File: set2.csv, ARI: 0.7231
EPS: 0.30, Min Samples: 3, File: set1.csv, ARI: 0.1839
EPS: 0.30, Min Samples: 3, File: set2.csv, ARI: 0.7231
