Adjusted Rand Index Baseline Score of set1.csv: 0.2422
Adjusted Rand Index Baseline Score of set2.csv: 0.3335
GMM Parameters - n_components: 2, Covariance Type: full, File: set1.csv, ARI: 0.1235
GMM Parameters - n_components: 2, Covariance Type: tied, File: set1.csv, ARI: 0.1129
GMM Parameters - n_components: 2, Covariance Type: diag, File: set1.csv, ARI: 0.1236
GMM Parameters - n_components: 2, Covariance Type: spherical, File: set1.csv, ARI: 0.1015
GMM Parameters - n_components: 3, Covariance Type: full, File: set1.csv, ARI: 0.1528
GMM Parameters - n_components: 3, Covariance Type: tied, File: set1.csv, ARI: 0.1521
GMM Parameters - n_components: 3, Covariance Type: diag, File: set1.csv, ARI: 0.1745
GMM Parameters - n_components: 3, Covariance Type: spherical, File: set1.csv, ARI: 0.1687
GMM Parameters - n_components: 4, Covariance Type: full, File: set1.csv, ARI: 0.1622
GMM Parameters - n_components: 4, Covariance Type: tied, File: set1.csv, ARI: 0.1618
GMM Parameters - n_components: 4, Covariance Type: diag, File: set1.csv, ARI: 0.1725
GMM Parameters - n_components: 4, Covariance Type: spherical, File: set1.csv, ARI: 0.1759
GMM Parameters - n_components: 5, Covariance Type: full, File: set1.csv, ARI: 0.1598
GMM Parameters - n_components: 5, Covariance Type: tied, File: set1.csv, ARI: 0.2052
GMM Parameters - n_components: 5, Covariance Type: diag, File: set1.csv, ARI: 0.1664
GMM Parameters - n_components: 5, Covariance Type: spherical, File: set1.csv, ARI: 0.1527
GMM Parameters - n_components: 6, Covariance Type: full, File: set1.csv, ARI: 0.1704
GMM Parameters - n_components: 6, Covariance Type: tied, File: set1.csv, ARI: 0.1622
GMM Parameters - n_components: 6, Covariance Type: diag, File: set1.csv, ARI: 0.1757
GMM Parameters - n_components: 6, Covariance Type: spherical, File: set1.csv, ARI: 0.1912
GMM Parameters - n_components: 7, Covariance Type: full, File: set1.csv, ARI: 0.1719
GMM Parameters - n_components: 7, Covariance Type: tied, File: set1.csv, ARI: 0.1789
GMM Parameters - n_components: 7, Covariance Type: diag, File: set1.csv, ARI: 0.1875
GMM Parameters - n_components: 7, Covariance Type: spherical, File: set1.csv, ARI: 0.2805
GMM Parameters - n_components: 8, Covariance Type: full, File: set1.csv, ARI: 0.2192
GMM Parameters - n_components: 8, Covariance Type: tied, File: set1.csv, ARI: 0.1460
GMM Parameters - n_components: 8, Covariance Type: diag, File: set1.csv, ARI: 0.2538
GMM Parameters - n_components: 8, Covariance Type: spherical, File: set1.csv, ARI: 0.1782
GMM Parameters - n_components: 9, Covariance Type: full, File: set1.csv, ARI: 0.2300
GMM Parameters - n_components: 9, Covariance Type: tied, File: set1.csv, ARI: 0.2167
GMM Parameters - n_components: 9, Covariance Type: diag, File: set1.csv, ARI: 0.2540
GMM Parameters - n_components: 9, Covariance Type: spherical, File: set1.csv, ARI: 0.1887
GMM Parameters - n_components: 10, Covariance Type: full, File: set1.csv, ARI: 0.1866
GMM Parameters - n_components: 10, Covariance Type: tied, File: set1.csv, ARI: 0.1691
GMM Parameters - n_components: 10, Covariance Type: diag, File: set1.csv, ARI: 0.2825
GMM Parameters - n_components: 10, Covariance Type: spherical, File: set1.csv, ARI: 0.2086
GMM Parameters - n_components: 11, Covariance Type: full, File: set1.csv, ARI: 0.1690
GMM Parameters - n_components: 11, Covariance Type: tied, File: set1.csv, ARI: 0.1800
GMM Parameters - n_components: 11, Covariance Type: diag, File: set1.csv, ARI: 0.1610
GMM Parameters - n_components: 11, Covariance Type: spherical, File: set1.csv, ARI: 0.1948
GMM Parameters - n_components: 12, Covariance Type: full, File: set1.csv, ARI: 0.2530
GMM Parameters - n_components: 12, Covariance Type: tied, File: set1.csv, ARI: 0.1843
GMM Parameters - n_components: 12, Covariance Type: diag, File: set1.csv, ARI: 0.2471
GMM Parameters - n_components: 12, Covariance Type: spherical, File: set1.csv, ARI: 0.2044
GMM Parameters - n_components: 13, Covariance Type: full, File: set1.csv, ARI: 0.3076
GMM Parameters - n_components: 13, Covariance Type: tied, File: set1.csv, ARI: 0.1922
GMM Parameters - n_components: 13, Covariance Type: diag, File: set1.csv, ARI: 0.2765
GMM Parameters - n_components: 13, Covariance Type: spherical, File: set1.csv, ARI: 0.2626
GMM Parameters - n_components: 14, Covariance Type: full, File: set1.csv, ARI: 0.2826
GMM Parameters - n_components: 14, Covariance Type: tied, File: set1.csv, ARI: 0.1879
GMM Parameters - n_components: 14, Covariance Type: diag, File: set1.csv, ARI: 0.2683
GMM Parameters - n_components: 14, Covariance Type: spherical, File: set1.csv, ARI: 0.2575
GMM Parameters - n_components: 15, Covariance Type: full, File: set1.csv, ARI: 0.2940
GMM Parameters - n_components: 15, Covariance Type: tied, File: set1.csv, ARI: 0.1926
GMM Parameters - n_components: 15, Covariance Type: diag, File: set1.csv, ARI: 0.2671
GMM Parameters - n_components: 15, Covariance Type: spherical, File: set1.csv, ARI: 0.2511
GMM Parameters - n_components: 16, Covariance Type: full, File: set1.csv, ARI: 0.3006
GMM Parameters - n_components: 16, Covariance Type: tied, File: set1.csv, ARI: 0.2028
GMM Parameters - n_components: 16, Covariance Type: diag, File: set1.csv, ARI: 0.2673
GMM Parameters - n_components: 16, Covariance Type: spherical, File: set1.csv, ARI: 0.2506
GMM Parameters - n_components: 17, Covariance Type: full, File: set1.csv, ARI: 0.3004
GMM Parameters - n_components: 17, Covariance Type: tied, File: set1.csv, ARI: 0.1929
GMM Parameters - n_components: 17, Covariance Type: diag, File: set1.csv, ARI: 0.2624
GMM Parameters - n_components: 17, Covariance Type: spherical, File: set1.csv, ARI: 0.2482
GMM Parameters - n_components: 18, Covariance Type: full, File: set1.csv, ARI: 0.2748
GMM Parameters - n_components: 18, Covariance Type: tied, File: set1.csv, ARI: 0.2048
GMM Parameters - n_components: 18, Covariance Type: diag, File: set1.csv, ARI: 0.2612
GMM Parameters - n_components: 18, Covariance Type: spherical, File: set1.csv, ARI: 0.2521
GMM Parameters - n_components: 19, Covariance Type: full, File: set1.csv, ARI: 0.2624
GMM Parameters - n_components: 19, Covariance Type: tied, File: set1.csv, ARI: 0.1883
GMM Parameters - n_components: 19, Covariance Type: diag, File: set1.csv, ARI: 0.2626
GMM Parameters - n_components: 19, Covariance Type: spherical, File: set1.csv, ARI: 0.2557
GMM Parameters - n_components: 20, Covariance Type: full, File: set1.csv, ARI: 0.3001
GMM Parameters - n_components: 20, Covariance Type: tied, File: set1.csv, ARI: 0.2051
GMM Parameters - n_components: 20, Covariance Type: diag, File: set1.csv, ARI: 0.2930
GMM Parameters - n_components: 20, Covariance Type: spherical, File: set1.csv, ARI: 0.2586
GMM Parameters - n_components: 21, Covariance Type: full, File: set1.csv, ARI: 0.2728
GMM Parameters - n_components: 21, Covariance Type: tied, File: set1.csv, ARI: 0.2305
GMM Parameters - n_components: 21, Covariance Type: diag, File: set1.csv, ARI: 0.2697
GMM Parameters - n_components: 21, Covariance Type: spherical, File: set1.csv, ARI: 0.2610
GMM Parameters - n_components: 22, Covariance Type: full, File: set1.csv, ARI: 0.2644
GMM Parameters - n_components: 22, Covariance Type: tied, File: set1.csv, ARI: 0.2223
