Adjusted Rand Index Baseline Score of set1.csv: 0.2422
Adjusted Rand Index Baseline Score of set2.csv: 0.3335
Agglomerative Parameters - n_clusters: 2, Linkage: ward, File: set1.csv, ARI: 0.1261
Agglomerative Parameters - n_clusters: 2, Linkage: complete, File: set1.csv, ARI: 0.0492
Agglomerative Parameters - n_clusters: 2, Linkage: average, File: set1.csv, ARI: 0.0003
Agglomerative Parameters - n_clusters: 2, Linkage: single, File: set1.csv, ARI: 0.0003
Agglomerative Parameters - n_clusters: 3, Linkage: ward, File: set1.csv, ARI: 0.1627
Agglomerative Parameters - n_clusters: 3, Linkage: complete, File: set1.csv, ARI: 0.0693
Agglomerative Parameters - n_clusters: 3, Linkage: average, File: set1.csv, ARI: -0.0012
Agglomerative Parameters - n_clusters: 3, Linkage: single, File: set1.csv, ARI: 0.0053
Agglomerative Parameters - n_clusters: 4, Linkage: ward, File: set1.csv, ARI: 0.1488
Agglomerative Parameters - n_clusters: 4, Linkage: complete, File: set1.csv, ARI: 0.0748
Agglomerative Parameters - n_clusters: 4, Linkage: average, File: set1.csv, ARI: 0.0040
Agglomerative Parameters - n_clusters: 4, Linkage: single, File: set1.csv, ARI: 0.0102
Agglomerative Parameters - n_clusters: 5, Linkage: ward, File: set1.csv, ARI: 0.1483
Agglomerative Parameters - n_clusters: 5, Linkage: complete, File: set1.csv, ARI: 0.0762
Agglomerative Parameters - n_clusters: 5, Linkage: average, File: set1.csv, ARI: 0.0543
Agglomerative Parameters - n_clusters: 5, Linkage: single, File: set1.csv, ARI: 0.0100
Agglomerative Parameters - n_clusters: 6, Linkage: ward, File: set1.csv, ARI: 0.1480
Agglomerative Parameters - n_clusters: 6, Linkage: complete, File: set1.csv, ARI: 0.0763
Agglomerative Parameters - n_clusters: 6, Linkage: average, File: set1.csv, ARI: 0.0544
Agglomerative Parameters - n_clusters: 6, Linkage: single, File: set1.csv, ARI: 0.0286
Agglomerative Parameters - n_clusters: 7, Linkage: ward, File: set1.csv, ARI: 0.1549
Agglomerative Parameters - n_clusters: 7, Linkage: complete, File: set1.csv, ARI: 0.0763
Agglomerative Parameters - n_clusters: 7, Linkage: average, File: set1.csv, ARI: 0.0588
Agglomerative Parameters - n_clusters: 7, Linkage: single, File: set1.csv, ARI: 0.0288
Agglomerative Parameters - n_clusters: 8, Linkage: ward, File: set1.csv, ARI: 0.1590
Agglomerative Parameters - n_clusters: 8, Linkage: complete, File: set1.csv, ARI: 0.0795
Agglomerative Parameters - n_clusters: 8, Linkage: average, File: set1.csv, ARI: 0.0977
Agglomerative Parameters - n_clusters: 8, Linkage: single, File: set1.csv, ARI: 0.0288
Agglomerative Parameters - n_clusters: 9, Linkage: ward, File: set1.csv, ARI: 0.1670
Agglomerative Parameters - n_clusters: 9, Linkage: complete, File: set1.csv, ARI: 0.0810
Agglomerative Parameters - n_clusters: 9, Linkage: average, File: set1.csv, ARI: 0.0978
Agglomerative Parameters - n_clusters: 9, Linkage: single, File: set1.csv, ARI: 0.0544
